课程号,课程名,课序号,学时,学分,老师
GNED100290,生命的存在与死亡教育,01,32,2,"洪苏涵,董研林"
GNED110400,大学生心理健康与自我调适,03,32,2,"闫琼,李美婷"
GNED110400,大学生心理健康与自我调适,07,32,2,"赵颖,李楠"
SOCP100190,课外实践8学分,01,0,8,"任君,刘晗梦,杨瑞,高天"
SOCP100190,课外实践8学分,02,0,8,"马瑞,罗嘉晖,刘瑜"
SOCP100190,课外实践8学分,03,0,8,"龙树荣,胡淑蕾"
SOCP100190,课外实践8学分,04,0,8,"梁博,肖飞,刘阿敏"
SOCP100190,课外实践8学分,05,0,8,"田亮,沈飞跃"
SOCP100190,课外实践8学分,06,0,8,"袁丽倩,高琼"
SOCP100190,课外实践8学分,07,0,8,"景南,胡思琪"
SOCP100190,课外实践8学分,08,0,8,"顾蓉,郎如静"
SOCP100190,课外实践8学分,09,0,8,"潘运亮,洪苏涵"
GNED106292,大学生创业训练与实践,01,32,2,"郑旭红,朱宏伟"
GNED106392,大学生职业发展与规划,01,32,2,姬姣姣
GNED106392,大学生职业发展与规划,02,32,2,"朱宏伟,叶倩,郑旭红"
GNED106392,大学生职业发展与规划,03,32,2,刘春阳
GNED106392,大学生职业发展与规划,04,32,2,"董研林,洪苏涵"
GNED106392,大学生职业发展与规划,05,32,2,"陈勇,王婧"
GNED106392,大学生职业发展与规划,06,32,2,刘朔
GNED106492,国际化视野及能力培养提升,01,32,2,"衣建甲,贺长中"
GNED115200,在线开放课程助教,06,0,0,肖胜军
BSIS400121,毕业设计（论文）,01,128,8,赵炜
INTE400121,国际贸易实务,01,64,4,杨杨
JZSJ900121,中国传统文化实践-2,01,16,1,尚磊明
JZSJ900121,中国传统文化实践-2,02,16,1,孙立滨
JZSJ900121,中国传统文化实践-2,03,16,1,孙立滨
LITE101021,中国概况,01,32,2,赵炜
LITE101021,中国概况,02,32,2,杨杨
LITE101121,当代影视鉴赏,01,32,2,张知倞
LITE101321,简明中国历史,01,32,2,李睿
LITE200321,汉语综合课2,01,96,6,杨杨
LITE200521,汉语听说2,01,64,4,李馨郁
LITE200521,汉语听说2,02,64,4,李馨郁
LITE302321,口腔医学汉语2,01,64,4,马萍
LITE302721,汉语听力-2,01,64,4,冯潇
LITE302721,汉语听力-2,02,64,4,戴艳茹
LITE302721,汉语听力-2,03,64,4,马春燕
LITE303221,综合医学汉语2,01,64,4,周瑜洁
LITE303221,综合医学汉语2,02,64,4,张爱珍
LITE303221,综合医学汉语2,03,64,4,谈芳
LITE303521,汉语口语-2,01,96,6,孔娟
LITE303521,汉语口语-2,02,96,6,孔娟
LITE303521,汉语口语-2,03,96,6,周瑜洁
LITE303721,综合医学汉语4,01,64,4,周程程
LITE304421,初级汉语听力2,01,64,4,邵一圃
LITE304621,中级汉语听说2,01,64,4,冯潇
LITE305021,中级汉语写作2,01,32,2,杨莉莉
LITE305421,初级汉语口语2,01,96,6,杨莉莉
LITE305621,综合医学汉语6,01,64,4,马萍
LITE305621,综合医学汉语6,02,64,4,周程程
LITE305821,中级汉语阅读2,01,64,4,邵一圃
LITE306121,HSK四级综合课,01,160,10,谈芳
LITE306121,HSK四级综合课,02,160,10,韩娇娇
LITE306121,HSK四级综合课,03,160,10,韩娇娇
LITE306221,口腔医学汉语4,01,64,4,张爱珍
LITE306321,口腔医学汉语6,01,64,4,张爱珍
LITE306821,综合医学汉语8,01,64,4,韩娇娇
LITE306821,综合医学汉语8,02,64,4,周程程
LITE306921,口腔医学汉语8,01,64,4,周程程
LITE307021,汉语综合-2,01,64,4,张知倞
LITE307421,基础医学汉语-2,01,96,6,戴艳茹
LITE307421,基础医学汉语-2,02,96,6,周瑜洁
LITE307421,基础医学汉语-2,03,96,6,海莹
LITE401121,初级汉语精读2,01,160,10,孙玉茜
LITE401421,中级汉语精读2,01,128,8,路荣
LITE401821,现代汉语2,01,32,2,冯潇
LITE402321,商务对话-2,01,64,4,马春燕
LITE402421,商务汉语写作-2,01,32,2,李馨郁
LITE402621,商务汉语综合-2,01,96,6,赵炜
LITE501121,中国经济与对外贸易概况,01,32,2,杨杨
LITE501321,汉字概论,01,32,2,李馨郁
LITE502121,商务新闻阅读,01,32,2,孙玉茜
LITE502221,中国古代文学,01,32,2,马春燕
MATH400121,文科高等数学,01,64,4,贾应智
AUTO544905,工业社会学,01,24,1.5,高建民
CORE100101,制造与社会发展,01,32,2,李兵
CORE100601,工业文明与数字社会,01,32,2,"高建民,孙孝飞,马富银,温广瑞,王永泉"
CORE100701,工程实践与伦理,02,32,2,"周延云,王小鹏,张启路,马富银,胡桥,周科,苏文斌"
CORE102600,创新思维和机器人创客实践,01,48,3,"张英杰,张政,徐海波"
FEES400101,食品化学,01,56,3,彭锦峰
FEES400301,微生物学,01,32,2,"薛晚利,代秉玲"
FEES400501,微生物学实验,01,32,1,张璐薇
GNED100401,项目管理,01,32,2,耿海鹏
GNED100401,项目管理,02,32,2,姜洪权
GNED100401,项目管理,03,32,2,孙岩桦
GNED100401,项目管理,05,32,2,范亮亮
GNED100701,数字化设计与制造软件应用基础,01,40,2,许睦旬
GNED100801,走进机器人：项目驱动的创新与实践,01,52,2,徐俊
GNED101001,艺术设计思维与实践,01,32,2,"杨增耀,李萌"
GNED101101,人工智能导论,01,40,2,"张小栋,秦立果,王晶"
GRDE900101,毕业设计（未来智能制造方向高级项目）,01,256,8,"梅雪松,杨树明,赵志斌,彭军,陈帅,孙若斌"
INDE300601,机械设计基础Ⅲ,01,48,2.5,徐亮
INDE400401,美学与设计,01,32,2,蔺肖曼
INDE400601,设计调查,01,32,2,"杨增耀,张煜"
INDE401401,设计造型Ⅱ,01,48,2,蔺肖曼
INDE401601,人因素和人机学,01,48,2.5,"李宏伟,李萌,张煜"
INDE402201,社会创新设计,01,40,2,张煜
INDE500801,人机界面设计,01,40,2,杨增耀
INDE500901,工业大数据处理与程序设计,01,40,2,仇国巍
INDE501001,Web编程技术,01,40,2,"谢涛,李宏伟"
INDE900201,工业设计实践Ⅱ-5,01,32,1,杨增耀
INDE900401,工业设计实践Ⅱ-1,01,32,1,李萌
INDE900801,工业设计实践Ⅰ-5,01,32,1,张煜
INDE901001,工业设计实践Ⅰ-2,01,32,1,蔺肖曼
INSM401201,无线传感网络技术,01,24,1.5,韦学勇
INSM401501,测试技术,01,48,2,"徐光华,李敏"
INSM401801,数字图像处理,01,40,2,赵自新
INSM501901,智能仪器与虚拟仪器设计,01,52,3,"侯成刚,刘弹"
INSM502001,设备监测与诊断技术及应用,01,36,1.5,"徐光华,梁霖"
INSM502101,机床精密测量与动态测试,01,40,2,"李兵,魏翔"
INSM900101,仪器设计综合性实验-1,01,80,2.5,"侯成刚,刘弹"
ITDE500701,CDIO项目实践,01,56,2,王永泉
JZSJ900101,光电检测专题实验,01,32,1,李珂嘉
JZSJ900101,光电检测专题实验,02,32,1,张璐薇
JZSJ900301,综合性实践训练,01,64,2,赵宏
MACH000101,机械工程导论,01,16,1,刘志刚
MACH000101,机械工程导论,02,16,1,朱永生
MACH000101,机械工程导论,03,16,1,李涤尘
MACH000101,机械工程导论,04,16,1,吴成军
MACH000201,智能制造工程导论,01,16,1,"江平宇,张小栋,陈雪峰,周光辉,曹军义,陈贵敏,刘啸川,黄科"
MACH390801,机械制图,01,48,3,曾亮
MACH390901,工程制图,01,32,2,姜维
MACH390901,工程制图,02,32,2,高琳
MACH390901,工程制图,03,32,2,梁庆宣
MACH390901,工程制图,04,32,2,刘弹
MACH390901,工程制图,05,32,2,刘意
MACH390901,工程制图,06,32,2,王小章
MACH390901,工程制图,07,32,2,戚社苗
MACH390901,工程制图,08,32,2,史晓军
MACH390901,工程制图,09,32,2,许睦旬
MACH390901,工程制图,10,32,2,孙挪刚
MACH390901,工程制图,11,32,2,陶唐飞
MACH390901,工程制图,12,32,2,王文君
MACH390901,工程制图,13,32,2,王小章
MACH390901,工程制图,14,32,2,肖鸿
MACH390901,工程制图,15,32,2,许睦旬
MACH390901,工程制图,16,32,2,张群明
MACH390901,工程制图,17,32,2,"郭馨,张航"
MACH390901,工程制图,18,32,2,张志芬
MACH390901,工程制图,19,32,2,赵明
MACH390901,工程制图,20,32,2,李骁
MACH390901,工程制图,21,32,2,苏文军
MACH390901,工程制图,22,32,2,刘飞
MACH390901,工程制图,23,32,2,王永飞
MACH390901,工程制图,24,32,2,杨旭
MACH390901,工程制图,25,32,2,崔路卿
MACH390901,工程制图,26,32,2,杜洋
MACH390901,工程制图,27,32,2,杨晓喆
MACH390901,工程制图,28,32,2,张小辉
MACH390901,工程制图,29,32,2,朱林波
MACH390901,工程制图,30,32,2,苏文军
MACH390901,工程制图,31,32,2,苏文军
MACH390901,工程制图,32,32,2,张四聪
MACH390901,工程制图,33,32,2,"张航,郭馨"
MACH390901,工程制图,34,32,2,"郭馨,张航"
MACH391201,工程图学,01,52,3,许睦旬
MACH391201,工程图学,02,52,3,张群明
MACH391201,工程图学,03,52,3,陶唐飞
MACH391401,机械设计基础Ⅰ,01,72,4,王恪典
MACH391401,机械设计基础Ⅰ,02,72,4,徐亮
MACH391401,机械设计基础Ⅰ,03,72,4,"李宝童,赵强强"
MACH391401,机械设计基础Ⅰ,04,72,4,"孙若斌,施虎"
MACH391401,机械设计基础Ⅰ,05,72,4,"刘宏磊,朱建"
MACH391401,机械设计基础Ⅰ,06,72,4,"武通海,王硕"
MACH391401,机械设计基础Ⅰ,07,72,4,"陈丽,刘恒"
MACH391501,机械设计基础Ⅱ,01,56,3,"陈丽,徐亮"
MACH391501,机械设计基础Ⅱ,02,56,3,"鲁中良,王亚南"
MACH391501,机械设计基础Ⅱ,03,56,3,"张辉,史江海"
MACH392001,大数据技术,01,36,2,"严如强,马猛"
MACH392201,大数据技术,01,64,4,"张留洋,李乃鹏,刘啸川,马猛"
MACH392401,材料力学（英）,01,48,3,娄燕山
MACH392801,工业互联网与云计算基础,01,56,3,"曹军义,张政"
MACH392801,工业互联网与云计算基础,02,56,3,"朱子才,吴晓军"
MACH400301,机械设计基础课程设计,01,32,1,陈丽
MACH400501,机械制造技术基础,01,56,3,王春慧
MACH400501,机械制造技术基础,02,56,3,金涛
MACH400501,机械制造技术基础,03,56,3,张星
MACH400501,机械制造技术基础,04,56,3,李旸
MACH400501,机械制造技术基础,05,56,3,"吕盾,洪军"
MACH400801,机械控制工程基础,01,56,3,"李小虎,范淑琴"
MACH402801,材料成形技术基础,01,32,2,"张航,蔡洪能,臧顺来"
MACH402801,材料成形技术基础,02,32,2,"张兆路,方学伟,张琦"
MACH402901,机械工程测试技术,01,48,2.5,张周锁
MACH402901,机械工程测试技术,02,48,2.5,李博
MACH402901,机械工程测试技术,03,48,2.5,"徐光华,李敏"
MACH402901,机械工程测试技术,04,48,2.5,张庆
MACH402901,机械工程测试技术,05,48,2.5,张小栋
MACH403001,机械工程测试技术（英）,01,48,2.5,杨树明
MACH403201,材料成形技术基础（英）,01,32,2,"王富,黄科"
MACH403301,数控技术,01,56,3,"刘红忠,牛东"
MACH403301,数控技术,02,56,3,陶涛
MACH403301,数控技术,03,56,3,姜歌东
MACH403301,数控技术,04,56,3,孙挪刚
MACH403301,数控技术,05,56,3,"梅雪松,杨军"
MACH403601,微纳制造工艺与装备,01,48,2.5,"邵金友,陈小明,王春慧,田洪淼,李祥明,陈小亮"
MACH403701,机器人技术及应用,01,40,2,董霞
MACH404001,智能制造技术基础,01,64,3.5,"康城玮,位文明"
MACH404401,人工智能基础,01,64,4,"秦立果,张小栋"
MACH404501,机械设计及其智能化,01,48,3,"王永泉,桂亮,李宝童,郭婷,权双璐,赵志斌"
MACH405001,智能传感器与检测技术（英）,01,48,3,"严如强,赵志斌"
MACH405101,深度学习与智能运维,01,48,3,"赵志斌,马猛,丁宝庆,吴淑明"
MACH405201,智能制造执行系统技术,01,48,3,"张超,周光辉"
MACH405501,智能制造执行系统技术,01,72,3,江平宇
MACH405501,智能制造执行系统技术,02,72,3,周光辉
MACH405601,智能运维与健康管理,01,64,3,"訾艳阳,王宇,陈景龙"
MACH405601,智能运维与健康管理,02,64,3,"訾艳阳,王宇,陈景龙"
MACH405801,智能制造工艺与装备,01,56,3,赵万华
MACH405801,智能制造工艺与装备,02,56,3,刘弘光
MACH405801,智能制造工艺与装备,03,56,3,张俊
MACH405901,智能成形技术,01,56,3,"张琦,杨强"
MACH405901,智能成形技术,02,56,3,"苏文斌,方学伟,坚永鑫"
MACH500701,装备与制造系统,01,40,2,徐海波
MACH501201,现代机器人技术,01,40,2,董霞
MACH501301,企业与生产运作管理,01,36,2,马登龙
MACH501701,机械故障诊断技术,01,40,2,"訾艳阳,王琇峰,陈景龙"
MACH501701,机械故障诊断技术,02,40,2,"王琇峰,陈景龙"
MACH501901,机械动力学,01,32,2,王小鹏
MACH501901,机械动力学,02,32,2,吴成军
MACH502001,摩擦学,01,40,2,"董光能,秦立果"
MACH502501,制造执行系统技术,01,40,2,杨茂林
MACH502801,增材制造技术（英）,01,40,2,田小永
MACH503001,现代设计理论与方法,01,32,2,朱永生
MACH503001,现代设计理论与方法,02,32,2,刘志刚
MACH503101,柔性电子制造与应用（英）,01,32,2,陈小明
MACH503701,创新思维和机器人创客实践,01,32,2,朱爱斌
MACH504001,信息处理技术,01,32,2,"徐光华,李敏,闫文强"
MACH504101,数字信号处理,01,32,2,"郑杨,闫文强"
MACH504201,智能机器及其实施技术,01,32,2,"赵升吨,王永飞,范淑琴"
MACH504501,增材制造技术（未来）,01,32,2,王奔
MACH900201,新形态机器人设计与驱控,01,64,2,"郭艳婕,彭军,李博,朱子才"
MACH900401,智能制造系统的人工智能应用及实践,01,64,2,"孙闯,陈雪峰,王保建,秦立果,尹昱东,李卓林"
MACH900601,智能制造系统开发、调试与运维,01,64,2,"周光辉,张超,赵丹"
MATL300201,工程材料基础,01,32,2,孙巧艳
MATL300201,工程材料基础,02,32,2,李博
VENG430101,汽车电子与控制,01,40,2,张政
VENG430301,车辆制造实验,01,48,1.5,"金涛,张大伟,臧顺来,郭文静,尹昱东,方学伟"
VENG430501,车辆制造装备与系统,01,24,1.5,张大伟
VENG430601,车辆工程导论,01,16,1,"张琦,赵升吨,徐俊"
VENG430901,电动汽车与混合动力技术,01,40,2,曹军义
