C#,CNAME,PERIOD,CREDIT,TEACHER
ED-89,生命的存在与死亡教育,32,2.0,"洪苏涵,董研林"
ED-14,大学生心理健康与自我调适,32,2.0,"闫琼,李美婷"
CP-86,课外实践8学分,0,8.0,"任君,刘晗梦,杨瑞,高天"
ED-77,大学生创业训练与实践,32,2.0,"郑旭红,朱宏伟"
ED-80,大学生职业发展与规划,32,2.0,姬姣姣
ED-83,国际化视野及能力培养提升,32,2.0,"衣建甲,贺长中"
ED-61,在线开放课程助教,0,0.0,肖胜军
IS-93,毕业设计（论文）,128,8.0,赵炜
TE-93,国际贸易实务,64,4.0,杨杨
SJ-58,中国传统文化实践-2,16,1.0,尚磊明
TE-44,中国概况,32,2.0,赵炜
TE-47,当代影视鉴赏,32,2.0,张知倞
TE-53,简明中国历史,32,2.0,李睿
TE-16,汉语综合课2,96,6.0,杨杨
TE-22,汉语听说2,64,4.0,李馨郁
TE-69,口腔医学汉语2,64,4.0,马萍
TE-81,汉语听力-2,64,4.0,冯潇
TE-96,综合医学汉语2,64,4.0,周瑜洁
TE-08,汉语口语-2,96,6.0,孔娟
TE-14,综合医学汉语4,64,4.0,周程程
TE-35,初级汉语听力2,64,4.0,邵一圃
TE-41,中级汉语听说2,64,4.0,冯潇
TE-65,初级汉语口语2,96,6.0,杨莉莉
TE-71,综合医学汉语6,64,4.0,马萍
TE-77,中级汉语阅读2,64,4.0,邵一圃
TE-86,HSK四级综合课,160,10.0,谈芳
TE-89,口腔医学汉语4,64,4.0,张爱珍
TE-92,口腔医学汉语6,64,4.0,张爱珍
TE-10,综合医学汉语8,64,4.0,韩娇娇
TE-13,口腔医学汉语8,64,4.0,周程程
TE-28,基础医学汉语-2,96,6.0,戴艳茹
TE-26,初级汉语精读2,160,10.0,孙玉茜
TE-62,商务对话-2,64,4.0,马春燕
TE-19,中国经济与对外贸易概况,32,2.0,杨杨
TE-25,汉字概论,32,2.0,李馨郁
TE-49,商务新闻阅读,32,2.0,孙玉茜
TE-52,中国古代文学,32,2.0,马春燕
TH-93,文科高等数学,64,4.0,贾应智
TO-56,工业社会学,24,1.5,高建民
RE-94,制造与社会发展,32,2.0,李兵
RE-12,工业文明与数字社会,32,2.0,"高建民,孙孝飞,马富银,温广瑞,王永泉"
RE-15,工程实践与伦理,32,2.0,"周延云,王小鹏,张启路,马富银,胡桥,周科,苏文斌"
RE-71,创新思维和机器人创客实践,48,3.0,"张英杰,张政,徐海波"
ES-73,食品化学,56,3.0,彭锦峰
ES-79,微生物学,32,2.0,"薛晚利,代秉玲"
ES-85,微生物学实验,32,1.0,张璐薇
ED-06,项目管理,32,2.0,耿海鹏
ED-15,数字化设计与制造软件应用基础,40,2.0,许睦旬
ED-18,走进机器人：项目驱动的创新与实践,52,2.0,徐俊
ED-24,艺术设计思维与实践,32,2.0,"杨增耀,李萌"
ED-27,人工智能导论,40,2.0,"张小栋,秦立果,王晶"
DE-38,毕业设计（未来智能制造方向高级项目）,256,8.0,"梅雪松,杨树明,赵志斌,彭军,陈帅,孙若斌"
DE-95,机械设计基础Ⅲ,48,2.5,徐亮
DE-82,美学与设计,32,2.0,蔺肖曼
DE-88,设计调查,32,2.0,"杨增耀,张煜"
DE-15,设计造型Ⅱ,48,2.0,蔺肖曼
DE-21,人因素和人机学,48,2.5,"李宏伟,李萌,张煜"
DE-39,社会创新设计,40,2.0,张煜
DE-87,人机界面设计,40,2.0,杨增耀
DE-90,工业大数据处理与程序设计,40,2.0,仇国巍
DE-93,Web编程技术,40,2.0,"谢涛,李宏伟"
DE-41,工业设计实践Ⅱ-5,32,1.0,杨增耀
DE-47,工业设计实践Ⅱ-1,32,1.0,李萌
DE-59,工业设计实践Ⅰ-5,32,1.0,张煜
DE-65,工业设计实践Ⅰ-2,32,1.0,蔺肖曼
SM-09,无线传感网络技术,24,1.5,韦学勇
SM-18,测试技术,48,2.0,"徐光华,李敏"
SM-27,数字图像处理,40,2.0,赵自新
SM-23,智能仪器与虚拟仪器设计,52,3.0,"侯成刚,刘弹"
SM-26,设备监测与诊断技术及应用,36,1.5,"徐光华,梁霖"
SM-29,机床精密测量与动态测试,40,2.0,"李兵,魏翔"
SM-38,仪器设计综合性实验-1,80,2.5,"侯成刚,刘弹"
DE-84,CDIO项目实践,56,2.0,王永泉
SJ-38,光电检测专题实验,32,1.0,李珂嘉
SJ-44,综合性实践训练,64,2.0,赵宏
CH-04,机械工程导论,16,1.0,刘志刚
CH-07,智能制造工程导论,16,1.0,"江平宇,张小栋,陈雪峰,周光辉,曹军义,陈贵敏,刘啸川,黄科"
CH-85,机械制图,48,3.0,曾亮
CH-88,工程制图,32,2.0,姜维
CH-00,工程图学,52,3.0,许睦旬
CH-06,机械设计基础Ⅰ,72,4.0,王恪典
CH-09,机械设计基础Ⅱ,56,3.0,"陈丽,徐亮"
CH-24,大数据技术,36,2.0,"严如强,马猛"
CH-30,大数据技术,64,4.0,"张留洋,李乃鹏,刘啸川,马猛"
CH-36,材料力学（英）,48,3.0,娄燕山
CH-48,工业互联网与云计算基础,56,3.0,"曹军义,张政"
CH-79,机械设计基础课程设计,32,1.0,陈丽
CH-94,机械控制工程基础,56,3.0,"李小虎,范淑琴"
CH-57,材料成形技术基础,32,2.0,"张航,蔡洪能,臧顺来"
CH-60,机械工程测试技术,48,2.5,张周锁
CH-63,机械工程测试技术（英）,48,2.5,杨树明
CH-69,材料成形技术基础（英）,32,2.0,"王富,黄科"
CH-72,数控技术,56,3.0,"刘红忠,牛东"
CH-81,微纳制造工艺与装备,48,2.5,"邵金友,陈小明,王春慧,田洪淼,李祥明,陈小亮"
CH-84,机器人技术及应用,40,2.0,董霞
CH-93,智能制造技术基础,64,3.5,"康城玮,位文明"
CH-08,人工智能基础,64,4.0,"秦立果,张小栋"
CH-11,机械设计及其智能化,48,3.0,"王永泉,桂亮,李宝童,郭婷,权双璐,赵志斌"
CH-26,智能传感器与检测技术（英）,48,3.0,"严如强,赵志斌"
CH-29,深度学习与智能运维,48,3.0,"赵志斌,马猛,丁宝庆,吴淑明"
CH-32,智能制造执行系统技术,48,3.0,"张超,周光辉"
CH-41,智能制造执行系统技术,72,3.0,江平宇
CH-44,智能运维与健康管理,64,3.0,"訾艳阳,王宇,陈景龙"
CH-50,智能制造工艺与装备,56,3.0,赵万华
CH-53,智能成形技术,56,3.0,"张琦,杨强"
CH-02,现代机器人技术,40,2.0,董霞
CH-05,企业与生产运作管理,36,2.0,马登龙
CH-17,机械故障诊断技术,40,2.0,"訾艳阳,王琇峰,陈景龙"
CH-23,机械动力学,32,2.0,王小鹏
CH-56,现代设计理论与方法,32,2.0,朱永生
CH-59,柔性电子制造与应用（英）,32,2.0,陈小明
CH-77,创新思维和机器人创客实践,32,2.0,朱爱斌
