S#,C#,GRADE
1033447,NA-24,35.2
1033036,MP-14,33.1
1032696,TE-41,92.2
1035181,ND-95,68.8
1034159,YS-64,44.0
1032542,VL-58,31.2
1036719,ED-07,93.3
1032189,YL-38,96.2
1033880,SS-10,96.1
1034590,SE-59,32.7
1034162,WS-01,74.5
1032095,FT-22,45.4
1032926,YS-01,38.0
1033844,TS-21,31.1
1035990,TS-77,33.5
1033910,SM-06,56.7
1033035,AN-61,83.6
1032409,YS-81,52.3
1034954,ED-00,36.0
1036815,ND-32,79.8
1033771,GL-60,54.0
1034957,ME-47,47.2
1033051,GL-32,55.1
1034317,SJ-28,87.2
1032746,ED-22,80.4
1032736,SJ-90,67.6
1035756,WS-57,96.7
1033049,CH-05,71.6
1032177,RM-22,87.7
1036420,ED-46,54.5
1035063,OL-30,38.1
1036865,ND-66,85.1
1034193,YS-45,77.6
1036292,NA-26,79.6
1035237,TH-66,43.6
1034391,TO-59,33.0
1032327,SM-61,38.2
1035342,DE-48,50.6
1035470,YS-92,70.6
1035916,ED-89,38.7
1034322,NA-27,32.1
1035565,GT-27,75.7
1035294,ND-91,99.7
1034418,TL-31,62.0
1033892,EM-12,76.3
1034719,NG-55,81.6
1035936,IM-49,93.3
1033292,OM-91,31.6
1033381,SM-85,67.1
1033644,PN-25,86.7
1033291,AU-49,82.4
1035998,CL-28,75.8
1036272,TL-88,55.2
1032391,ND-32,94.2
1034310,EC-76,50.5
1034888,MD-92,57.3
1035382,IM-49,79.6
1034295,RM-27,40.1
1032527,NA-46,67.2
1032452,RM-16,41.6
1032656,ED-66,67.0
1036384,MA-13,90.4
1033048,EC-39,66.3
1032381,TS-28,90.3
1033595,TE-68,63.9
1032401,RS-06,62.4
1033924,AT-23,31.6
1033338,CH-48,79.6
1032051,IM-16,43.3
1033951,SS-10,36.6
1032868,OL-59,50.2
1032141,MP-56,71.6
1034536,MT-92,39.9
1036531,YS-42,52.5
1036281,SJ-13,92.5
1034030,MP-31,83.2
1032722,SM-22,49.9
1032515,NA-29,68.9
1034739,SJ-36,32.4
1035296,RE-48,90.9
1036924,EA-27,55.2
1034805,CH-68,95.6
1032974,NG-69,85.3
1034568,CH-47,79.1
1035939,MP-40,66.3
1036499,FT-49,34.4
1034832,RE-08,99.2
1034385,GT-25,79.8
1033995,NG-92,62.8
1032177,PN-44,74.1
1032254,DE-87,59.8
1032112,MP-55,68.4
